ko,description
"K23128","S; HBV large envelope protein"
"K05345","regB; T4 restriction endoribonuclease [EC:4.6.1.25]"
"K18951","gp30; DNA ligase [EC:6.5.1.1]"
"K18961","rnlA; T4 RNA ligase 1 [EC:6.5.1.3]"
"K18962","rnlB; T4 RNA ligase 2 [EC:6.5.1.3]"
"K18948","gp61; DNA primase [EC:2.7.7.-]"
"K18947","gp41; DNA replication helicase [EC:5.6.2.3]"
"K18960","gp49; recombination endonuclease VII"
"K22007","gp55; RNA polymerase sigma factor"
"K18946","gp32, ssb; single-stranded DNA-binding protein"
"K21074","mrh; rpoH-modulating protein"
"K21079","gp23; major capsid protein"
"K21531","gp18; tail sheath protein"
"K21530","gp25; baseplate wedge protein"
"K18949","gp59; protein Gp59"
"K18944","gp44; sliding clamp loader"
"K18945","gp62; sliding clamp loader"
"K21500","dnk; deoxynucleoside-5'-monophosphate kinase [EC:2.7.4.13]"
"K21314","pol; T5 DNA polymerase [EC:2.7.7.7]"
"K21510","dmp; 5'-deoxynucleotidase [EC:3.1.3.89]"
"K21313","1; T7 RNA polymerase [EC:2.7.7.6]"
"K21238","Gp5; T7 DNA-directed DNA polymerase [EC:2.7.7.7]"
"K21502","Gp4; DNA primase/helicase [EC:2.7.7.- 5.6.2.3]"
"K21526","Gp6; exonuclease [EC:3.1.11.3]"
"K21525","Gp3; endonuclease I [EC:3.1.21.2]"
"K21508","Gp16; peptidoglycan hydrolase [EC:4.2.2.-]"
"K25280","gp2.5, ssb; T7 single-stranded DNA-binding protein"
"K21796","pebS; phycoerythrobilin synthase [EC:1.3.7.6]"
"K21509","gp36; peptidoglycan hydrolase [EC:3.2.1.17]"
"K24972","purZ; 2-amino-2'-deoxyadenylo-succinate synthase [EC:6.3.4.25]"
"K21503","56; dCTP pyrophosphatase [EC:3.6.1.12]"
"K25797","VP1_VP2; Erythroparvovirus capsid protein VP1/VP2"
"K19252","VP1; Dependoparvovirus capsid protein VP1, adeno-associated virus type"
"K21240","Rep; Dependoparvovirus virus replication protein"
"K21234","BC1; Begomovirus movement protein BC1"
"K21235","BR1, BV1; Begomovirus nuclear shuttle protein"
"K21520","C1; Bean yellow dwarf virus replication-associated protein A [EC:3.1.21.-]"
"K05208","glutamate receptor ionotropic, NMDA 1"
"K05210","glutamate receptor ionotropic, NMDA 2B"
"K08524","retinoid X receptor alpha"
"K00560","thymidylate synthase [EC:2.1.1.45]"
"K05209","glutamate receptor ionotropic, NMDA 2A"
"K05404","toll-like receptor 7"
"K11787","phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1]"
"K08527","retinoic acid receptor alpha"
"K05130","interferon receptor 1"
"K05131","interferon receptor 2"
"K03164","DNA topoisomerase II [EC:5.6.2.2]"
"K08526","retinoid X receptor gamma"
"K08529","retinoic acid receptor gamma"
"K08525","retinoid X receptor beta"
"K17689","cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]"
"K05771","glucocorticoid receptor"
"K05212","glutamate receptor ionotropic, NMDA 2D"
"K06744","programmed cell death protein 1"
"K00287","dihydrofolate reductase [EC:1.5.1.3]"
"K05211","glutamate receptor ionotropic, NMDA 2C"
"K07375","tubulin beta"
"K17692","cytochrome P450 family 3 subfamily A43 [EC:1.14.14.1]"
"K06454","T-cell surface glycoprotein CD4"
"K17691","cytochrome P450 family 3 subfamily A7 [EC:1.14.14.1]"
"K17690","cytochrome P450 family 3 subfamily A5 [EC:1.14.14.1]"
"K05080","growth hormone receptor"
"K08528","retinoic acid receptor beta"
"K04180","C-C chemokine receptor type 5"
"K06745","programmed cell death 1 ligand 1"
