taxid,name,rank
"15303","Alopecurus","genus"
"81473","Alopecurus myosuroides","species"
"75079","Rubus occidentalis","species"
"38563","Petroicidae","family"
"228563","Petroica","genus"
"228564","Petroica traversi","species"
"8111","Perciformes","order"
"30871","Serranidae","family"
"184439","Centropristis","genus"
"184440","Centropristis striata","species"
"75100","Rubus ursinus","species"
"3656","Cucumis melo","species"
"3663","Cucurbita pepo","species"
"75066","Rubus canadensis","species"
"211815","Rubus plicatus","species"
"9183","Turdidae","family"
"9186","Turdus","genus"
"9187","Turdus merula","species"
"175228","Ribes rubrum","species"
"6945","Ixodes scapularis","species"
"85823","Blattodea","order"
"1049651","Ectobiidae","family"
"6972","Blattella","genus"
"6973","Blattella germanica","species"
"2611352","Discoba","clade"
"33682","Euglenozoa","phylum"
"5653","Kinetoplastea","class"
"2704949","Trypanosomatida","order"
"5654","Trypanosomatidae","family"
"1463229","Blechomonas","genus"
"1463349","Blechomonas luni","species"
"1463231","Blechomonas maslovi","species"
"1463346","Blechomonas wendygibsoni","species"
"13659","Ruellia","genus"
"544840","Ruellia blechum","species"
"1489900","Anabantiformes","order"
"30910","Channidae","family"
"33789","Channa","genus"
"64146","Channa lucius","species"
"64152","Channa striata","species"
"4747","Orchidaceae","family"
"78752","Diuris","genus"
"4345","Ericaceae","family"
"13749","Vaccinium","genus"
"69266","Vaccinium corymbosum","species"
"4118","Convolvulaceae","family"
"4119","Ipomoea","genus"
"89664","Ipomoea tricolor","species"
"4761","Chytridiomycota","phylum"
"451435","Chytridiomycetes","class"
"13750","Vaccinium macrocarpon","species"
"9859","Cervus","genus"
"1574408","Cervus canadensis","species"
"9861","Cervus canadensis canadensis","genome"
"9871","Odocoileus","genus"
"9874","Odocoileus virginianus","species"
"9889","Antilocapridae","family"
"9890","Antilocapra","genus"
"9891","Antilocapra americana","species"
"9900","Bison","genus"
"9901","Bison bison","species"
"46212","Culicoides variipennis","species"
"179676","Culicoides sonorensis","species"
"289301","Culicoides obsoletus","species"
"8573","Boa","genus"
"401042","Boa imperator","species"
"9592","Gorilla","genus"
"9593","Gorilla gorilla","species"
"3536","Nyctaginaceae","family"
"122399","Boerhavia","genus"
"122400","Boerhavia coccinea","species"
"8342","Anura","order"
"218469","Limnodynastidae","family"
"30361","Limnodynastes","genus"
"104071","Limnodynastes ornatus","species"
"109481","Myotis nattereri","species"
"34625","Hyalomma","genus"
"266040","Hyalomma asiaticum","species"
"258862","Mops","genus"
"242384","Mops pumilus","species"
"258863","Mops condylurus","species"
"7089","Bombycidae","family"
"7090","Bombyx","genus"
"7092","Bombyx mandarina","species"
"7091","Bombyx mori","species"
"2559587","Riboviria","clade"
"2732405","Duplornaviricota","phylum"
"2732459","Resentoviricetes","class"
"2732541","Reovirales","order"
"10880","Reoviridae","family"
"10981","Cypovirus","genus"
"205895","Cypovirus 1","species"
"110829","Bombyx mori cypovirus 1","genome"
"100678","Culex vishnui","species"
"7214","Drosophilidae","family"
"7215","Drosophila","genus"
"7227","Drosophila melanogaster","species"
"41021","Hepialidae","family"
"343454","Oncopera","genus"
"343455","Oncopera intricoides","species"
"517","Bordetella","genus"
"518","Bordetella bronchiseptica","species"
"8798","Struthioniformes","order"
"8799","Struthionidae","family"
"8800","Struthio","genus"
"8801","Struthio camelus","species"
"9352","Bradypodidae","family"
"9445","Lemuridae","family"
"9454","Varecia","genus"
"9455","Varecia variegata","species"
"9839","Lama","genus"
"9844","Lama glama","species"
"9831","Hippopotamidae","family"
"56797","Hexaprotodon","genus"
"56798","Hexaprotodon liberiensis","species"
"36801","Crocidura","genus"
"109474","Crocidura leucodon","species"
"9599","Pongo","genus"
"9600","Pongo pygmaeus","species"
"30521","Bos grunniens","species"
"7713","Ascidiacea","class"
"7720","Stolidobranchia","order"
"7721","Styelidae","family"
"62806","Botrylloides","genus"
"62808","Botrylloides leachii","species"
"147548","Leotiomycetes","class"
"5178","Helotiales","order"
"28983","Sclerotiniaceae","family"
"33196","Botrytis","genus"
"40559","Botrytis cinerea","species"
"1615967","Botrytis sp. V446","species"
"87229","Botrytis porri","species"
"9726","Delphinidae","family"
"9738","Tursiops","genus"
"9739","Tursiops truncatus","species"
"79784","Tursiops aduncus","species"
"9533","Cercopithecus","genus"
"36228","Cercopithecus nictitans","species"
"100937","Papio papio","species"
"3540","Bougainvillea","genus"
"146096","Bougainvillea spectabilis","species"
"9688","Panthera","genus"
"9689","Panthera leo","species"
"9902","Bison bonasus","species"
"214441","Crocidura douceti","species"
"7149","Chironomidae","family"
"7150","Chironomus","genus"
"7154","Chironomus thummi","species"
"3711","Brassica rapa","species"
"386281","Brassica rapa var. purpuraria","genome"
"3708","Brassica napus","species"
"3709","Brassica napus subsp. rapifera","genome"
"1477","Paenibacillus larvae subsp. pulvifaciens","genome"
"55080","Brevibacillus","genus"
"1465","Brevibacillus laterosporus","species"
"85019","Brevibacteriaceae","family"
"1696","Brevibacterium","genus"
"273384","Brevibacterium aurantiacum","species"
"31943","Brevibacterium iodinum","species"
"69195","Brevicoryne","genus"
"69196","Brevicoryne brassicae","species"
"51299","Nyctalus","genus"
"51300","Nyctalus noctula","species"
"3853","Lathyrus","genus"
"3859","Lathyrus odoratus","species"
"47081","Melilotus","genus"
"47082","Melilotus albus","species"
"76369","Megaskepasma","genus"
"76370","Megaskepasma erythrochlamys","species"
"3615","Polygonaceae","family"
"3618","Rumex","genus"
"3619","Rumex obtusifolius","species"
"186820","Listeriaceae","family"
"2755","Brochothrix","genus"
"2756","Brochothrix thermosphacta","species"
"4501","Bromus","genus"
"15371","Bromus inermis","species"
"97361","Hordeum murinum","species"
"52150","Bromus catharticus","species"
"52147","Bromus hordeaceus","species"
"94117","Pteropus scapulatus","species"
"40297","Galagidae","family"
"30610","Otolemur","genus"
"9463","Otolemur crassicaudatus","species"
"118882","Brucellaceae","family"
"234","Brucella","genus"
"235","Brucella abortus","species"
"29459","Brucella melitensis","species"
"29461","Brucella suis","species"
"52132","Brucella sp.","species"
"120576","Brucella pinnipedialis","species"
"520461","Brucella pinnipedialis B2/94","genome"
"444163","Brucella microti","species"
"568815","Brucella microti CCM 4915","genome"
"224914","Brucella melitensis bv. 1 str. 16M","genome"
"359391","Brucella abortus 2308","genome"
"430066","Brucella abortus S19","genome"
"29460","Brucella neotomae","species"
"1169205","Brucella abortus 544","genome"
"9374","Talpa","genus"
"9375","Talpa europaea","species"
"301914","Brugmansia","genus"
"512269","Brugmansia x candida","species"
"905076","Brugmansia suaveolens","species"
"187011","Nyctalus velutinus","species"
"7198","Phlebotominae","genome"
"8382","Bufonidae","family"
"8383","Bufo","genus"
"8384","Bufo bufo","species"
"8397","Ranidae","family"
"192752","Lithobates","genus"
"8404","Lithobates pipiens","species"
"8476","Emydidae","family"
"85610","Terrapene","genus"
"158814","Terrapene carolina","species"
"43148","Hirundinidae","family"
"72883","Petrochelidon","genus"
"72884","Petrochelidon pyrrhonota","species"
"36294","Pycnonotidae","family"
"125282","Pycnonotus","genus"
"125283","Pycnonotus sinensis","species"
"182897","Pycnonotus jocosus","species"
"49204","Haemaphysalis punctata","species"
"4216","Arctium","genus"
"4217","Arctium lappa","species"
"6893","Araneae","order"
"230231","Mecicobothriidae","family"
"389761","Hexura","genus"
"389823","Hexura picea","species"
"32008","Burkholderia","genus"
"95486","Burkholderia cenocepacia","species"
"292","Burkholderia cepacia","species"
"152480","Burkholderia ambifaria","species"
"216591","Burkholderia cenocepacia J2315","genome"
"331272","Burkholderia cenocepacia HI2424","genome"
"28450","Burkholderia pseudomallei","species"
"441158","Burkholderia pseudomallei 9","genome"
"272560","Burkholderia pseudomallei K96243","genome"
"320371","Burkholderia pseudomallei 1710a","genome"
"557724","Burkholderia pseudomallei 576","genome"
"1249473","Burkholderia pseudomallei MSHR491","genome"
"337","Burkholderia glumae","species"
"60550","Burkholderia pyrrocinia","species"
"28095","Burkholderia gladioli","species"
"884204","Burkholderia pseudomallei 1026b","genome"
"57975","Burkholderia thailandensis","species"
"8689","Viperidae","family"
"110215","Atheris","genus"
"110225","Atheris squamigera","species"
"2169681","Artamidae","family"
"254524","Cracticus","genus"
"1120791","Cracticus torquatus","species"
"56018","Petasites","genus"
"186965","Petasites japonicus","species"
"26378","Iris","genus"
"203638","Iris japonica","species"
"2726158","Culicoides sp.","species"
"186801","Clostridia","class"
"186802","Eubacteriales","order"
"186803","Lachnospiraceae","family"
"830","Butyrivibrio","genus"
"831","Butyrivibrio fibrisolvens","species"
"1121131","Butyrivibrio fibrisolvens DSM 3071","genome"
"82594","Biston","genus"
"1049282","Biston suppressaria","species"
"3716","Brassica oleracea var. capitata","genome"
"3640","Theobroma","genus"
"3641","Theobroma cacao","species"
"252611","Nyssomyia","genus"
"268290","Nyssomyia trapidoi","species"
"174825","Culiseta","genus"
"704160","Culiseta inornata","species"
"53551","Sabethes","genus"
"2153043","Sabethes glaucodaemon","species"
"81882","Formicariidae","family"
"81883","Formicarius","genus"
"123377","Formicarius analis","species"
"3593","Cactaceae","family"
"153864","Gymnocalycium","genus"
"484760","Gymnocalycium mihanovichii","species"
"83431","Selenicereus","genus"
"176265","Selenicereus undatus","species"
"33651","Bicosoecida","order"
"238884","Cafeteriaceae","family"
"33652","Cafeteria","genus"
"33653","Cafeteria roenbergensis","species"
"1629510","Nyssomyia ylephiletor","species"
"79027","Caladenia","genus"
"152850","Caladenia latifolia","species"
"38206","Calanthe","genus"
"9892","Giraffidae","family"
"9893","Giraffa","genus"
"9894","Giraffa camelopardalis","species"
"323105","Calibrachoa","genus"
"10028","Cricetulus","genus"
"10029","Cricetulus griseus","species"
"663928","Ochlerotatus dorsalis","species"
"9702","Otariidae","family"
"9703","Zalophus","genus"
"9704","Zalophus californianus","species"
"72033","Siphonostomatoida","order"
"72034","Caligidae","family"
"217164","Caligus","genus"
"217165","Caligus rogercresseyi","species"
"1049370","Lactuca sativa var. angustana","genome"
"6757","Portunidae","family"
"6762","Callinectes","genus"
"53941","Callinectes ornatus","species"
"6763","Callinectes sapidus","species"
"13378","Callistephus","genus"
"13379","Callistephus chinensis","species"
"9498","Cebidae","family"
"9481","Callithrix","genus"
"9483","Callithrix jacchus","species"
"64663","Callosciurus","genus"
"64677","Callosciurus erythraeus","species"
"64676","Callosciurus prevostii","species"
"9837","Camelus bactrianus","species"
"27065","Theaceae","family"
"4441","Camellia","genus"
"4443","Camellia japonica","species"
"385388","Camellia oleifera","species"
"7101","Heliothis","genus"
"7102","Heliothis virescens","species"
"7408","Ichneumonidae","family"
"7415","Campoletis","genus"
"7416","Campoletis sonorensis","species"
"36668","Formicidae","family"
"1909205","Colobopsis","genus"
"2681982","Colobopsis nipponica","species"
"13390","Camponotus","genus"
"606275","Camponotus yamaokai","species"
"29547","Epsilonproteobacteria","class"
"213849","Campylobacterales","order"
"72294","Campylobacteraceae","family"
"194","Campylobacter","genus"
"197","Campylobacter jejuni","species"
"32022","Campylobacter jejuni subsp. jejuni","genome"
"1357994","Campylobacter jejuni subsp. jejuni 00-2425","genome"
"205","Campylobacter sp.","species"
"1201032","Campylobacter jejuni subsp. jejuni PT14","genome"
"8849","Anser caerulescens","species"
"9133","Fringillidae","family"
"9134","Serinus","genus"
"9135","Serinus canaria","species"
"9647","Procyonidae","family"
"9653","Procyon","genus"
"9654","Procyon lotor","species"
"4628","Canna indica","species"
"134742","Sigmodon alstoni","species"
"127559","Anourosorex","genus"
"127560","Anourosorex squamipes","species"
"126903","Physalis peruviana","species"
"301453","Capparaceae","family"
"13394","Capparis","genus"
"65558","Capparis spinosa","species"
"42712","Caluromys","genus"
"70610","Caluromys philander","species"
"9923","Capra aegagrus","species"
"4149","Scrophulariaceae","family"
"255866","Capraria","genus"
"255867","Capraria biflora","species"
"9858","Cervus capreolus","species"
"1532884","Sapajus","genus"
"174599","Sapajus xanthosternos","species"
"9515","Sapajus apella","species"
"50460","Cardamine","genus"
"82359","Cardamine lilacina","species"
"190883","Iberis","genus"
"188482","Amomum","genus"
"1008370","Amomum subulatum","species"
"105180","Elettaria","genus"
"105181","Elettaria cardamomum","species"
"7402","Braconidae","family"
"51529","Toxoneuron","genus"
"51531","Toxoneuron nigriceps","species"
"9409","Megadermatidae","family"
"270763","Cardioderma","genus"
"270764","Cardioderma cor","species"
"41937","Sapindales","order"
"23672","Sapindaceae","family"
"289798","Cardiospermum","genus"
"556940","Cardiospermum microcarpum","species"
"8465","Cheloniidae","family"
"8466","Caretta","genus"
"8467","Caretta caretta","species"
"9869","Rangifer","genus"
"9870","Rangifer tarandus","species"
"3569","Dianthus","genus"
"118431","Dianthus chinensis","species"
"3570","Dianthus caryophyllus","species"
"278075","Dianthus barbatus","species"
"3571","Saponaria","genus"
"3572","Saponaria officinalis","species"
"288950","Dianthus superbus","species"
"135614","Xanthomonadales","order"
"32033","Xanthomonadaceae","family"
"338","Xanthomonas","genus"
"339","Xanthomonas campestris","species"
"340","Xanthomonas campestris pv. campestris","genome"
"4038","Daucus","genus"
"4039","Daucus carota","species"
"4042","Petroselinum","genus"
"4043","Petroselinum crispum","species"
"79196","Daucus carota subsp. carota","genome"
"4046","Coriandrum","genus"
"4047","Coriandrum sativum","species"
"51859","Corallus","genus"
"51860","Corallus annulatus","species"
"115353","Limacodidae","family"
"53851","Cassia","genus"
"948718","Senna sophera","species"
"29132","Castoridae","family"
"10184","Castor","genus"
"51338","Castor canadensis","species"
"329110","Coquillettidia","genus"
"569586","Coquillettidia xanthogaster","species"
"52836","Mandevilla","genus"
"21910","Verbenaceae","family"
"167916","Duranta","genus"
"167917","Duranta erecta","species"
"320266","Catopsilia","genus"
"320267","Catopsilia pomona","species"
"3755","Prunus dulcis","species"
"204458","Caulobacterales","order"
"76892","Caulobacteraceae","family"
"75","Caulobacter","genus"
"155892","Caulobacter vibrioides","species"
"190650","Caulobacter vibrioides CB15","genome"
"78","Caulobacter sp.","species"
"149531","Aedes","genome"
"10139","Caviidae","family"
"10140","Cavia","genus"
"10141","Cavia porcellus","species"
"9513","Cebus","genus"
"9517","Cebus sp.","species"
"9514","Cebus albifrons","species"
"1257118","Acanthamoeba castellanii str. Neff","genome"
"875170","Celeribacter","genus"
"1397108","Celeribacter marinus","species"
"941588","Apium graveolens Secalinum Group","genome"
"40886","Anthriscus","genus"
"40888","Anthriscus cerefolium","species"
"117781","Apium graveolens Dulce Group","genome"
"117743","Flavobacteriia","class"
"200644","Flavobacteriales","order"
"49546","Flavobacteriaceae","family"
"104264","Cellulophaga","genus"
"2745558","Cellulophaga sp. HaHa_2_95","species"
"2749994","Cellulophaga sp. HaHa_2_1","species"
"1942464","Cellulophaga sp. HaHaR_3_176","species"
"52959","Polaribacter","genus"
"2745562","Polaribacter sp. AHE13PA","species"
"76594","Cellulophaga baltica","species"
"1348583","Cellulophaga baltica 13","genome"
"1348584","Cellulophaga baltica 18","genome"
"1348585","Cellulophaga baltica NN016038","genome"
"1348582","Cellulophaga baltica 4","genome"
"192170","Cellulophaga sp. MM#3","species"
"167616","Centrosema","genus"
"1129165","Centrosema brasilianum","species"
"5251","Ceratobasidium","genus"
"1768090","Ceratobasidium sp.","species"
"5592","Microascales","order"
"1028423","Ceratocystidaceae","family"
"1580844","Endoconidiophora","genus"
"1580850","Endoconidiophora polonica","species"
"1580851","Endoconidiophora resinifera","species"
"9537","Erythrocebus","genus"
"9538","Erythrocebus patas","species"
"167130","Cercopithecus erythrotis","species"
"40931","Rhopalosiphum","genus"
"40932","Rhopalosiphum padi","species"
"13261","Schizaphis","genus"
"13262","Schizaphis graminum","species"
"37874","Nassella","genus"
"796700","Nassella pulchra","species"
"9860","Cervus elaphus","species"
"86328","Rangifer tarandus groenlandicus","genome"
"86329","Rangifer tarandus tarandus","genome"
"191431","Rangifer tarandus granti","genome"
"103474","Cestrum","genus"
"142762","Cestrum parqui","species"
"8530","Teiidae","family"
"8533","Ameiva","genus"
"8535","Ameiva ameiva","species"
"33836","Coscinodiscophyceae","class"
"265576","Chaetocerotales","order"
"49236","Chaetocerotaceae","family"
"49237","Chaetoceros","genus"
"1631823","Chaetoceros salsugineus","species"
"426634","Chaetoceros lorenzianus","species"
"426638","Chaetoceros tenuissimus","species"
"1290580","Chaetoceros setoense","species"
"163503","Chaetoceros socialis","species"
"1382994","Chaetoceros sp. SS628-11","species"
"49240","Chaetoceros sp.","species"
"2174073","Berkeleyomyces","genus"
"124036","Berkeleyomyces basicola","species"
"34868","Rupicapra","genus"
"34869","Rupicapra rupicapra","species"
"530174","Hylaeamys","genus"
"89099","Hylaeamys megacephalus","species"
"7163","Aedes vexans","species"
"7175","Culex pipiens","species"
"1451302","Aedes bekkui","species"
"64231","Sicyos","genus"
"184140","Sicyos edulis","species"
"108357","Sida acuta","species"
"8468","Chelonia","genus"
"8469","Chelonia mydas","species"
"7405","Chelonus","genus"
"49201","Chelonus inanitus","species"
"140311","Prunus cerasus","species"
"97321","Prunus serrulata","species"
"151421","Prunus serrulata var. lannesiana","genome"
"3620","Rheum","genus"
"3621","Rheum rhabarbarum","species"
"26867","Plantago","genus"
"29818","Plantago major","species"
"49743","Taraxacum","genus"
"50225","Taraxacum officinale","species"
"121882","Balsamorhiza","genus"
"230209","Balsamorhiza sagittata","species"
"9573","Presbytis","genus"
"9596","Pan","genus"
"9598","Pan troglodytes","species"
"188700","Aedes polynesiensis","species"
"299627","Aedes furcifer","species"
"172278","Chilli leaf curl virus","species"
"340896","Chilli leaf curl virus-[Pakistan]","genome"
"4073","Capsicum frutescens","species"
"165789","Capsicum annuum var. glabriusculum","genome"
"570969","Ornithodoros tartakovskyi","species"
"37012","Pan troglodytes verus","genome"
"53171","Stachys","genus"
"168825","Stachys affinis","species"
"328320","Geoemydidae","family"
"74925","Mauremys","genus"
"260622","Mauremys megalocephala","species"
"55575","Dioscorea polystachya","species"
"569628","Dioscorea oppositifolia","species"
"8022","Oncorhynchus mykiss","species"
"79643","Pygoscelis antarcticus","species"
"54071","undetermined Sciuridae 'chipmunks'","species"
"1783257","PVC group","clade"
"204428","Chlamydiae","phylum"
"204429","Chlamydiia","class"
"51291","Chlamydiales","order"
"809","Chlamydiaceae","family"
"810","Chlamydia","genus"
"83554","Chlamydia psittaci","species"
"83555","Chlamydia abortus","species"
"83556","Chlamydia felis","species"
"83557","Chlamydia caviae","species"
"227941","Chlamydia caviae GPIC","genome"
"85991","Chlamydia pecorum","species"
"331635","Chlamydia pecorum E58","genome"
"83558","Chlamydia pneumoniae","species"
"115711","Chlamydia pneumoniae AR39","genome"
"106218","Pectinida","order"
"6566","Pectinidae","family"
"106298","Azumapecten","genus"
"106299","Azumapecten farreri","species"
"4508","Dactylis","genus"
"4509","Dactylis glomerata","species"
"66011","Chloris","genus"
"110876","Chloris gayana","species"
"279311","Ixophorus","genus"
"279312","Ixophorus unisetus","species"
"60710","Chlorocebus pygerythrus","species"
"2877513","Ornithodoros sp.","species"
"218825","Oligoryzomys fulvescens","species"
"796792","Dichopogon","genus"
"5332","Schizophyllaceae","family"
"58368","Chondrostereum","genus"
"58369","Chondrostereum purpureum","species"
"7140","Choristoneura","genus"
"7141","Choristoneura fumiferana","species"
"27541","Choristoneura occidentalis","species"
"2911890","Choristoneura occidentalis biennis","genome"
"55056","Mamestra","genus"
"55057","Mamestra brassicae","species"
"82599","Cydia","genus"
"82600","Cydia pomonella","species"
"106494","Choristoneura murinana","species"
"27543","Choristoneura rosaceana","species"
"13422","Chrysanthemum","genus"
"41568","Chrysanthemum x morifolium","species"
"109564","Gynura","genus"
"2608109","Haptista","clade"
"2830","Haptophyta","phylum"
"73028","Prymnesiales","order"
"418967","Prymnesiaceae","family"
"1090112","Haptolina","genus"
"156173","Haptolina brevifila","species"
"156174","Haptolina ericina","species"
"254717","Chrysodeixis","genus"
"749652","Chrysodeixis chalcites","species"
"5073","Penicillium","genus"
"1651864","Penicillium citreosulfuratum","species"
"8018","Oncorhynchus keta","species"
"44482","Anopheles","genome"
"53527","Culex","genome"
"225400","Myotis davidii","species"
"102981","Neoaliturus tenellus","species"
"287","Pseudomonas aeruginosa","species"
"546","Citrobacter freundii","species"
"1676276","Citrobacter sp. TM1552","species"
"1896336","Citrobacter sp.","species"
"23513","Rutaceae","family"
"2706","Citrus","genus"
"37656","Citrus x paradisi","species"
"2909989","Citrus sp.","species"
"2711","Citrus sinensis","species"
"85571","Citrus reticulata","species"
"105581","Citrus sinensis x Citrus trifoliata","species"
"205558","Solanum laxum","species"
"2708","Citrus limon","species"
"159033","Citrus aurantiifolia","species"
"3683","Passifloraceae","family"
"3684","Passiflora","genus"
"159061","Pamburus","genus"
"159062","Pamburus missionis","species"
"231459","Afraegle","genus"
"231460","Afraegle paniculata","species"
"64884","Citrus jambhiri","species"
"37690","Citrus trifoliata","species"
"171251","Citrus medica","species"
"171250","Citrus hybrid cultivar","species"
"37334","Citrus maxima","species"
"43166","Citrus aurantium","species"
"171249","Citrus limonia","species"
"2726946","Cladosporiales","order"
"452563","Cladosporiaceae","family"
"5498","Cladosporium","genus"
"29917","Cladosporium cladosporioides","species"
"2726947","Mycosphaerellales","order"
"93133","Mycosphaerellaceae","family"
"2897311","Fulvia","genus"
"5499","Fulvia fulva","species"
"7128","Sphingidae","family"
"215160","Clanis","genus"
"215161","Clanis bilineata","species"
"283833","Deilephila","genus"
"283834","Deilephila elpenor","species"
"512392","Ampelophaga","genus"
"512393","Ampelophaga rubiginosa","species"
"283865","Theretra","genus"
"1088304","Theretra oldenlandiae","species"
"85023","Microbacteriaceae","family"
"1573","Clavibacter","genus"
"28447","Clavibacter michiganensis","species"
"33013","Clavibacter michiganensis subsp. michiganensis","genome"
"3452","Clematis","genus"
"301454","Cleomaceae","family"
"2759669","Rorida","genus"
"511510","Rorida droserifolia","species"
"25782","Cleome","genus"
"879920","Cleome affinis","species"
"1470343","Cleoserrata","genus"
"13432","Clerodendrum","genus"
"1262117","Clerodendrum philippinum","species"
"222564","Clerodendrum cyrtophyllum","species"
"5351","Tricholomataceae","family"
"50966","Clitocybe","genus"
"181985","Clitocybe odora","species"
"43365","Clitoria","genus"
"43366","Clitoria ternatea","species"
"37571","Notodontidae","family"
"214089","Clostera","genus"
"499538","Clostera anachoreta","species"
"300245","Clostera anastomosis","species"
"186804","Peptostreptococcaceae","family"
"1870884","Clostridioides","genus"
"1496","Clostridioides difficile","species"
"31979","Clostridiaceae","family"
"1485","Clostridium","genus"
"1491","Clostridium botulinum","species"
"929505","Clostridium botulinum C str. Stockholm","genome"
"1502","Clostridium perfringens","species"
"195103","Clostridium perfringens ATCC 13124","genome"
"1509","Clostridium sporogenes","species"
"1513","Clostridium tetani","species"
"1172203","Clostridium tetani ATCC 9441","genome"
"1519","Clostridium tyrobutyricum","species"
"289380","Clostridium perfringens SM101","genome"
"3559","Chenopodium album","species"
"283210","Malus pumila","species"
"4437","Plumbaginaceae","family"
"46093","Limonium","genus"
"70371","Limonium sinuatum","species"
"3831","Cyamopsis","genus"
"3832","Cyamopsis tetragonoloba","species"
"268499","Crambidae","family"
"437487","Cnaphalocrocis","genus"
"437488","Cnaphalocrocis medinalis","species"
"48110","Cnidium","genus"
"54711","Cnidium officinale","species"
"316877","Cnidoscolus","genus"
"316878","Cnidoscolus urens","species"
"213598","Coccinia","genus"
"387127","Coccinia grandis","species"
"6974","Blattidae","family"
"303876","Eurycotis","genus"
"303877","Eurycotis floridana","species"
"15956","Phleum","genus"
"15957","Phleum pratense","species"
"13893","Cocos","genus"
"13894","Cocos nucifera","species"
"138557","Codiaeum","genus"
"138558","Codiaeum variegatum","species"
"24966","Rubiaceae","family"
"13442","Coffea","genus"
"13443","Coffea arabica","species"
"3713","Brassica oleracea var. viridis","genome"
"587658","Coleus","genus"
"4142","Coleus scutellarioides","species"
"22002","Verbena","genus"
"1028384","Glomerellales","order"
"681950","Glomerellaceae","family"
"5455","Colletotrichum","genus"
"690256","Colletotrichum fructicola","species"
"474922","Colletotrichum gloeosporioides","species"
"80884","Colletotrichum higginsianum","species"
"759273","Colletotrichum higginsianum IMI 349063","genome"
"9570","Colobus","genus"
"33548","Colobus guereza","species"
"4459","Colocasia","genus"
"4460","Colocasia esculenta","species"
"10042","Peromyscus maniculatus","species"
"34619","Dermacentor","genus"
"34620","Dermacentor andersoni","species"
"30649","Erethizontidae","family"
"34843","Erethizon","genus"
"34844","Erethizon dorsatum","species"
"13712","Tamias","genus"
"45468","Tamias minimus","species"
"1141637","Callospermophilus","genus"
"76772","Callospermophilus lateralis","species"
"42407","Neotoma","genus"
"105147","Neotoma cinerea","species"
"123797","Tamias umbrinus","species"
"8931","Columba","genus"
"8932","Columba livia","species"
"267889","Colwelliaceae","family"
"28228","Colwellia","genus"
"28229","Colwellia psychrerythraea","species"
"167879","Colwellia psychrerythraea 34H","genome"
"4739","Commelinales","order"
"4740","Commelinaceae","family"
"4743","Commelina","genus"
"121164","Pelophylax","genus"
"45623","Pelophylax lessonae","species"
"2743709","Danionidae","family"
"7954","Danio","genus"
"7955","Danio rerio","species"
"339873","Ichthyosaura","genus"
"54263","Ichthyosaura alpestris","species"
"385666","Ichthyosaura alpestris cyreni","genome"
"9108","Gruiformes","order"
"9119","Rallidae","family"
"9122","Gallinula","genus"
"9123","Gallinula chloropus","species"
"554493","Condylorrhiza","genus"
"554494","Condylorrhiza vestigialis","species"
"1535530","Schizoparmaceae","family"
"172190","Coniella","genus"
"332405","Coniella diplodiella","species"
"221678","Didymosphaeriaceae","family"
"125369","Paraphaeosphaeria","genus"
"565426","Paraphaeosphaeria minitans","species"
"7166","Anopheles quadrimaculatus","species"
"93758","Corchorus","genus"
"210143","Corchorus capsularis","species"
"210145","Corchorus siliquosus","species"
"93759","Corchorus olitorius","species"
"39500","Cordyline","genus"
"39501","Cordyline fruticosa","species"
"129246","Apodemus chevrieri","species"
"28725","Corvidae","family"
"2821309","Coloeus","genus"
"30423","Coloeus monedula","species"
"85007","Corynebacteriales","order"
"1653","Corynebacteriaceae","family"
"1716","Corynebacterium","genus"
"1725","Corynebacterium xerosis","species"
"92706","[Brevibacterium] flavum","species"
"38305","Corynebacterium vitaeruminis","species"
"1718","Corynebacterium glutamicum","species"
"4630","Costaceae","family"
"4631","Costus","genus"
"328783","Costus spiralis","species"
"32390","Cotesia","genus"
"51543","Cotesia congregata","species"
"89805","Cotesia flavipes","species"
"32391","Cotesia glomerata","species"
"178385","Cotesia kariyai","species"
"93006","Cotesia marginiventris","species"
"217439","Cotesia melanoscela","species"
"217443","Cotesia vestalis","species"
"32392","Cotesia rubecula","species"
"222464","Cotton leaf curl Kokhran virus","species"
"1762015","Cotton leaf curl Kokhran virus - Burewala","genome"
"3634","Gossypium barbadense","species"
"47605","Hibiscus","genus"
"183298","Hibiscus rosa-sinensis","species"
"223259","Cotton leaf curl Rajasthan virus","species"
"1851701","Digera","genus"
"1966379","Digera muricata","species"
"3829","Crotalaria juncea","species"
"9683","Felis silvestris","species"
"9690","Panthera onca","species"
"9691","Panthera pardus","species"
"146712","Puma","genus"
"9696","Puma concolor","species"
"9782","Elephas","genus"
"9783","Elephas maximus","species"
"9799","Tapiridae","family"
"9800","Tapirus","genus"
"9802","Tapirus indicus","species"
"9803","Rhinocerotidae","family"
"9804","Diceros","genus"
"9805","Diceros bicornis","species"
"10185","Castor fiber","species"
"29092","Microtus agrestis","species"
"32535","Acinonyx","genus"
"32536","Acinonyx jubatus","species"
"46841","Leopardus","genus"
"32538","Leopardus pardalis","species"
"42254","Sorex araneus","species"
"9806","Ceratotherium","genus"
"9807","Ceratotherium simum","species"
"73337","Ceratotherium simum simum","genome"
"86972","Okapia","genus"
"86973","Okapia johnstoni","species"
"186473","Rhombomys","genus"
"186474","Rhombomys opimus","species"
"9697","Herpestidae","family"
"210651","Mungos","genus"
"210652","Mungos mungo","species"
"10046","Meriones","genus"
