ko,name,description,disease_category
H01696,Subacute sclerosing panencephalitis,"Subacute sclerosing panencephalitis (SSPE) is a progressive, fatal neurologic disorder of childhood and early adolescence. It is caused by a persistent infection of the brain by an aberrant measles virus. Signs attributable to subacute sclerosing panencephalitis usually develop 4-8 years after the onset of measles infection. It is not precisely known how the measles virus remains dormant for so many years and why it becomes active again. More recent data indicate that it can follow acute measles infection in 1:10,000 cases. The incidence of SSPE is inversely related to measles vaccination coverage. In the developed world, the prevalence of SSPE has steadily declined since the introduction of the measles virus vaccine. The characteristic clinical manifestations of SSPE include behavioral abnormalities, cognitive decline, myoclonic jerks, seizures and abnormalities in vision. Clinical manifestations of SSPE usually start with subtle intellectual deterioration of the affected child causing deterioration in school performance. One of the most characteristic manifestations of SSPE is periodic myoclonic jerks that often leads to difficulty in walking and repeated falls. In the terminal stages of the disease, decerebrate and decorticate rigidity appear. Ultimately the patient becomes vegetative. Management of the disease includes seizure control and avoidance of secondary complications associated with the progressive disability. Treatment with interferon, ribavirin, and isoprinosine have reported beneficial results. However, there is no definitively effective treatment for SSPE.",Infectious disease; Neurodegenerative disease
H01724,HTLV1-associated myelopathy,"Human T lymphotropic virus type I (HTLV-I)-associated myelopathy/tropical spastic paraparesis (HAM/TSP) is a chronic progressive myelopathy characterized by bilateral pyramidal tract involvement with sphincteric disturbances. HTLV-1 is the etiologic agent of HAM/TSP. Although the majority of HTLV-1-infected individuals remain asymptomatic during their lifetime, approximately one percent of this population develops a myelopathy consisting of a chronic inflammation of the white and gray matter of the spinal cord. Early in the disease process the leptomeninges, blood vessels and parenchyma are infiltrated with CD4+, CD8+, B lymphocytes and foamy macrophages, whereas later in the disease CD8+ lymphocytes predominate with subsequent progression to a relatively acellular, atrophic pattern with axonal and myelin degeneration.",Immune system disease; Nervous system disease
H02163,Oropouche fever,"Oropouche fever is an infectious disease caused by Oropouche virus (OROV), an orthobunyavirus in the order Bunyavirales of -ssRNA viruses, and transmitted by mosquitoes and biting midges. OROV was first isolated in 1955 in Trinidad and Tobago.",Infectious disease
H02164,Sandfly fever,"Sandfly fever is an infectious disease caused by Sandfly fever Naples virus (SFNV), a phlebovirus in the order Bunyavirales of -ssRNA viruses, and transmitted by biting midges and mosquitoes. SFNV was first isolated in 1943 in Italy.",Infectious disease
H02165,Colorado tick fever,"Colorado tick fever is an infectious disease caused by Colorado tick fever virus (CTFV), a cortivirus in the Reoviridae family of dsRNA viruses, and transmitted by Rocky Mountain wood tick (Dermacentor andersoni). CTFV was first isolated in 1944 in the Rocky Mountain region.",Infectious disease
H02166,Saint Louis encephalitis,"Saint Louis encephalitis is an infection of the central nervous system caused by Saint Louis encephalitis virus (SLEV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. SLEV was first isolated in 1933 in St Louis, Missouri, USA.",Infectious disease
H02171,Rocio viral encephalitis,"Rocio viral encephalitis is an infection of the central nervous system caused by Rocio virus (ROCV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. ROCV was first isolated in 1975 in Brazil.",Infectious disease
H02173,Arenaviral hemorrhagic fever,"Arenaviral hemorrhagic fever is a group of infectious diseases caused by Arenaviruses, which are in the genus Mammarenavirus, the family Arenaviridae of -ssRNA viruses. Arenaviruses have a natural reservoir in rodents and occasionally infect humans. Phylogenetically, arenaviruses can be divided into Old World and New World groups, reflecting the restricted geographical distribution of natural reservoir species.",Infectious disease
H02351,Cowpox,"Human cowpox is a rare zoonotic infectious disease caused by cowpox virus (CPXV), an orthopoxvirus in the Poxviridae family of dsDNA viruses. CPXV can infect a broad range of hosts. Natural reservoir hosts of CPXV are wild rodents. Transmission to humans is through contact with infected animals, mostly domestic cats, which are predators of wild rodents.",Infectious disease
H02352,Vaccinia,"Vaccinia is an infectious disease caused by vaccinia virus, an orthopoxvirus in the Poxviridae family of dsDNA viruses. Vaccinia virus has been used as a smallpox vaccine. Several serious complications such as encephalitis, progressive vaccinia, eczema vaccinatum, and generalized vaccinia and disseminated vaccinia have been reported.",Infectious disease
H02354,Orf,"Orf is a highly contagious zoonotic infectious disease caused by orf virus, a parapoxvirus in the Poxviridae family of dsDNA viruses. Orf virus is transmitted to humans by direct or indirect contact with sheep and goats. Its viability on the ground and the ability to reinfect the host has contributed to the spread and maintenance of the infection in many species.",Infectious disease
H02398,COVID-19,"Coronavirus disease of 2019 (COVID-19) is a highly contagious respiratory infection that is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). SARS-CoV-2 infects alveolar epithelial cells [mainly alveolar epithelial type 2 (AEC2) cells] through the angiotensin-converting enzyme 2 (ACE2) receptor. Upon the occupancy of ACE2 by SARS-CoV-2, the increased serum level of free Angiotensin II (Ang II) due to a reduction of ACE2-mediated degradation promotes activation of the NF-kappa B pathway via Ang II type 1 receptor (AT1R), followed by  interleukin-6 (IL-6) production. SARS-CoV-2 also activates the innate immune system; macrophage stimulation triggers the overproduction of pro-inflammatory cytokines, including IL-6, and the 'cytokine storm', which results in systemic inflammatory response syndrome and multiple organ failure. The combined effects of complement activation, dysregulated neutrophilia, endothelial injury, and hypercoagulability appear to be intertwined to drive the severe features of COVID-19.",Infectious disease
H02442,Common cold,"The common cold is a viral infection of the upper respiratory tract. Many types of viruses can cause a common cold, with rhinoviruses being the most common. Certain coronaviruses are also implicated in causing a common cold.",Infectious disease
H02511,Jamestown Canyon encephalitis,"Jamestown Canyon encephalitis is a rare infectious disease characterized by acute fever, meningitis, or meningoencephalitis. It is caused by Jamestown Canyon virus (JCV), a mosquito-borne orthobunyavirus in the California serogroup in the order Bunyavirales of -ssRNA viruses. JCV was first isolated in 1961 from mosquitoes in Jamestown, Colorado. Since then, the virus has been isolated from various mosquito species. JCV neutralizing antibodies have been found in various mammals throughout mainland North America, and identified in humans.",Infectious disease
H02512,Cache Valley virus infection,"Cache Valley virus infection is an infectious disease caused by Cache Valley virus (CVV), a mosquito-borne orthobunyavirus in the order Bunyavirales of -ssRNA viruses. CVV was first isolated in 1956 from Culiseta inornata mosquitoes in the Cache Valley of northern Utah. It circulates in mosquito and animal species across a large area of North, Central and South America. A limited number of human case reports have described severe illness.",Infectious disease
